Body,Network,Series,Batch,Geometric Mean
1-Pendulum,CHNN,avg_rel_err_pred,26,7.273726338845841e-05
1-Pendulum,CHNN,avg_rel_err_pred,27,3.8243215178886604e-05
1-Pendulum,CHNN,avg_rel_err_pred,28,6.837160911527089e-05
1-Pendulum,CHNN,avg_rel_err_pred,29,5.324255608247653e-05
1-Pendulum,CHNN,avg_rel_err_pred,30,7.882515823693235e-05
1-Pendulum,CHNN,avg_rel_err_pred,31,0.00021902161931887474
1-Pendulum,CHNN,avg_rel_err_pred,32,4.615106297610587e-05
1-Pendulum,CHNN,avg_rel_err_pred,33,7.378419394980435e-05
1-Pendulum,CHNN,avg_rel_err_pred,34,7.62928993973142e-05
1-Pendulum,CHNN,avg_rel_err_pred,35,3.3295270510112186e-05
1-Pendulum,CHNN,avg_rel_err_pred,36,0.00012658876940798246
1-Pendulum,CHNN,avg_rel_err_pred,37,3.921479432741341e-05
1-Pendulum,CHNN,avg_rel_err_pred,38,4.202388830276136e-05
1-Pendulum,CHNN,avg_rel_err_pred,39,6.771919059264026e-05
1-Pendulum,CHNN,avg_rel_err_pred,40,8.0650985656109e-05
1-Pendulum,CHNN,avg_rel_err_pred,41,1.821033152622313e-05
1-Pendulum,CHNN,avg_rel_err_pred,42,4.389389005556529e-05
1-Pendulum,CHNN,avg_rel_err_pred,43,2.0659112443265622e-05
1-Pendulum,CHNN,avg_rel_err_pred,44,6.701605197615948e-05
1-Pendulum,CHNN,avg_rel_err_pred,45,6.58075435170368e-05
1-Pendulum,CHNN,avg_rel_err_pred,46,3.314262005060058e-05
1-Pendulum,CHNN,avg_rel_err_pred,47,2.5665620975653696e-05
1-Pendulum,CHNN,avg_rel_err_pred,48,6.925414972764506e-05
1-Pendulum,CHNN,avg_rel_err_pred,49,2.887211227867997e-05
1-Pendulum,CHNN,avg_rel_err_pred,50,6.637158294649787e-05
1-Pendulum,CHNN,avg_rel_err_pred,51,0.00012821076724312122
1-Pendulum,CHNN,avg_rel_err_pred,52,0.00015743997892782194
1-Pendulum,CHNN,avg_rel_err_pred,53,4.05567806727114e-05
1-Pendulum,CHNN,avg_rel_err_pred,54,8.764258421221915e-05
1-Pendulum,CHNN,avg_rel_err_pred,55,5.342740278543821e-05
1-Pendulum,CHNN,avg_rel_err_pred,56,3.1087074700847574e-05
1-Pendulum,CHNN,avg_rel_err_pred,57,9.439262208739734e-05
1-Pendulum,CHNN,avg_rel_err_pred,58,4.452338890211615e-05
1-Pendulum,CHNN,avg_rel_err_pred,59,3.9675626607711684e-05
1-Pendulum,CHNN,avg_rel_err_pred,60,6.751977487337646e-05
1-Pendulum,CHNN,avg_rel_err_pred,61,5.964751160248643e-05
1-Pendulum,CHNN,avg_rel_err_pred,62,0.00033180548429016007
1-Pendulum,CHNN,avg_rel_err_pred,63,4.0771512505869666e-05
1-Pendulum,CHNN,avg_rel_err_pred,64,0.00015045871765462476
