n_train,Network,Series,Batch,Geometric Mean
10,CHNN,avg_rel_err_pred,29,0.005078177787896127
10,CHNN,avg_rel_err_pred,30,0.007793102559375758
10,CHNN,avg_rel_err_pred,31,0.1897541898876897
10,CHNN,avg_rel_err_pred,32,0.029545909621774582
10,CHNN,avg_rel_err_pred,33,0.010474439171246578
10,CHNN,avg_rel_err_pred,34,0.21447845475143706
10,CHNN,avg_rel_err_pred,35,0.42065788476289856
10,CHNN,avg_rel_err_pred,36,0.22651078023894497
10,CHNN,avg_rel_err_pred,37,0.005722051775790981
10,CHNN,avg_rel_err_pred,38,0.003631932491280656
10,CHNN,avg_rel_err_pred,39,0.1424316272151001
10,CHNN,avg_rel_err_pred,40,0.004557503459309311
10,CHNN,avg_rel_err_pred,41,0.005158593374181857
10,CHNN,avg_rel_err_pred,42,0.00992488457271952
10,CHNN,avg_rel_err_pred,43,0.010314774302213739
10,CHNN,avg_rel_err_pred,44,0.05677085062067811
10,CHNN,avg_rel_err_pred,45,0.006092259609519595
10,CHNN,avg_rel_err_pred,46,0.08177145513900526
10,CHNN,avg_rel_err_pred,47,0.0036291330252364697
10,CHNN,avg_rel_err_pred,48,0.00310915053054489
10,CHNN,avg_rel_err_pred,49,0.20636685390626733
10,CHNN,avg_rel_err_pred,50,0.028813655185150756
10,CHNN,avg_rel_err_pred,51,0.017430055476023196
10,CHNN,avg_rel_err_pred,52,0.04491969733188461
10,CHNN,avg_rel_err_pred,53,0.3225971174571602
10,CHNN,avg_rel_err_pred,54,0.013788069884778292
10,CHNN,avg_rel_err_pred,55,0.02654780828661999
10,CHNN,avg_rel_err_pred,56,0.16040693857290445
10,CHNN,avg_rel_err_pred,57,0.01239780481568269
10,CHNN,avg_rel_err_pred,58,0.005015669782698002
10,CHNN,avg_rel_err_pred,59,0.01766693203372311
10,CHNN,avg_rel_err_pred,60,0.006677500409546138
10,CHNN,avg_rel_err_pred,61,0.005857454673396795
10,CHNN,avg_rel_err_pred,62,0.012453824290104389
10,CHNN,avg_rel_err_pred,63,0.007676936805330351
10,CHNN,avg_rel_err_pred,64,0.02115281604436622
10,CHNN,avg_rel_err_pred,65,0.04784997007060144
10,CHNN,avg_rel_err_pred,66,0.600209034501948
10,CHNN,avg_rel_err_pred,67,0.028537724769414574
10,CHNN,avg_rel_err_pred,68,0.008468584194131172
10,CHNN,avg_rel_err_pred,69,0.0048871653812185235
10,CHNN,avg_rel_err_pred,70,0.029568209706565082
10,CHNN,avg_rel_err_pred,71,0.0057921400659092905
10,CHNN,avg_rel_err_pred,72,0.00917379715073255
10,CHNN,avg_rel_err_pred,73,0.028651296251926715
10,CHNN,avg_rel_err_pred,74,0.024098104056079653
10,CHNN,avg_rel_err_pred,75,0.004343775742728563
10,CHNN,avg_rel_err_pred,76,0.008775416802892403
10,CHNN,avg_rel_err_pred,77,0.004121978414700222
10,CHNN,avg_rel_err_pred,78,0.0035631546223192432
10,CHNN,avg_rel_err_pred,79,0.25365134882119295
10,CHNN,avg_rel_err_pred,80,0.0022580915260821182
10,CHNN,avg_rel_err_pred,81,0.031119318091815965
10,CHNN,avg_rel_err_pred,82,0.11575789286763152
10,CHNN,avg_rel_err_pred,83,0.009168971153311575
10,CHNN,avg_rel_err_pred,84,0.005400582444374184
10,CHNN,avg_rel_err_pred,85,0.004562656260371083
10,CHNN,avg_rel_err_pred,86,0.01690442551684054
10,CHNN,avg_rel_err_pred,87,0.004926259625954536
10,CHNN,avg_rel_err_pred,88,0.005086183529851452
10,CHNN,avg_rel_err_pred,89,0.005492013895602015
10,CHNN,avg_rel_err_pred,90,0.007758973066606306
10,CHNN,avg_rel_err_pred,91,0.393043370452648
10,CHNN,avg_rel_err_pred,92,0.004615821391894794
10,CHNN,avg_rel_err_pred,93,0.004977923617240414
10,CHNN,avg_rel_err_pred,94,0.010204307466048543
10,CHNN,avg_rel_err_pred,95,0.00715655757250954
10,CHNN,avg_rel_err_pred,96,0.006539062501498761
10,CHNN,avg_rel_err_pred,97,0.008234319234009005
10,CHNN,avg_rel_err_pred,98,0.0139459089786996
10,CHNN,avg_rel_err_pred,99,0.004314701450565232
10,CLNN,avg_rel_err_pert,0,9.874091226896666e-05
10,CLNN,avg_rel_err_pert,1,8.912707390835494e-05
10,CLNN,avg_rel_err_pert,2,3.648753434791729e-05
10,CLNN,avg_rel_err_pert,3,4.119645766759529e-05
10,CLNN,avg_rel_err_pert,4,4.452096246320895e-05
10,CLNN,avg_rel_err_pert,5,0.00010355616509497977
10,CLNN,avg_rel_err_pert,6,6.80187820855913e-05
10,CLNN,avg_rel_err_pert,7,8.868092475458845e-05
10,CLNN,avg_rel_err_pert,8,0.0005121397228334918
10,CLNN,avg_rel_err_pert,9,2.1368985222523203e-05
10,CLNN,avg_rel_err_pert,10,2.5122043963381585e-05
10,CLNN,avg_rel_err_pert,11,2.0696564341212267e-05
10,CLNN,avg_rel_err_pert,12,3.313303232466064e-05
10,CLNN,avg_rel_err_pert,13,3.1240396281707724e-05
10,CLNN,avg_rel_err_pert,14,4.024137209690882e-05
10,CLNN,avg_rel_err_pert,15,0.00014492534459209708
10,CLNN,avg_rel_err_pert,16,6.83112086990714e-05
10,CLNN,avg_rel_err_pert,17,1.2204834159740765e-05
10,CLNN,avg_rel_err_pert,18,4.320187167085685e-05
10,CLNN,avg_rel_err_pert,19,5.2625390480360115e-05
10,CLNN,avg_rel_err_pert,20,5.151218667053617e-05
10,CLNN,avg_rel_err_pert,21,7.499973169555619e-05
10,CLNN,avg_rel_err_pert,22,7.818204390463674e-05
10,CLNN,avg_rel_err_pert,23,0.00011597625454867064
10,CLNN,avg_rel_err_pert,24,7.124295385331394e-05
10,CLNN,avg_rel_err_pert,25,4.7823713187213685e-05
10,CLNN,avg_rel_err_pert,26,3.150843665017284e-05
10,CLNN,avg_rel_err_pert,27,6.645642129435308e-05
10,CLNN,avg_rel_err_pert,28,3.81852231248651e-05
10,CLNN,avg_rel_err_pert,29,5.36331077653491e-05
10,CLNN,avg_rel_err_pert,30,0.00011882573146621463
10,CLNN,avg_rel_err_pert,31,7.354397360681934e-05
