Body,Network,Series,Batch,Geometric Mean
3-CoupledPendulum,CHNN,avg_rel_err_pert,97,0.00017705163052364955
3-CoupledPendulum,CHNN,avg_rel_err_pert,98,0.00013184140877309572
3-CoupledPendulum,CHNN,avg_rel_err_pert,99,0.00017885840500296462
3-CoupledPendulum,CHNN,avg_rel_err_pred,0,0.005631823664373602
3-CoupledPendulum,CHNN,avg_rel_err_pred,1,0.0022836550941301064
3-CoupledPendulum,CHNN,avg_rel_err_pred,2,0.007231874268298803
3-CoupledPendulum,CHNN,avg_rel_err_pred,3,0.0013190426902634676
3-CoupledPendulum,CHNN,avg_rel_err_pred,4,0.0020213964551781282
3-CoupledPendulum,CHNN,avg_rel_err_pred,5,0.027769717857446564
3-CoupledPendulum,CHNN,avg_rel_err_pred,6,0.0027777994568696125
3-CoupledPendulum,CHNN,avg_rel_err_pred,7,0.0013782925059281509
3-CoupledPendulum,CHNN,avg_rel_err_pred,8,0.00545271539089615
3-CoupledPendulum,CHNN,avg_rel_err_pred,9,0.011861642538911579
3-CoupledPendulum,CHNN,avg_rel_err_pred,10,0.046186241312195064
3-CoupledPendulum,CHNN,avg_rel_err_pred,11,0.010303751987443781
3-CoupledPendulum,CHNN,avg_rel_err_pred,12,0.006686123657994346
3-CoupledPendulum,CHNN,avg_rel_err_pred,13,0.019041358815034746
3-CoupledPendulum,CHNN,avg_rel_err_pred,14,0.04072611581382019
3-CoupledPendulum,CHNN,avg_rel_err_pred,15,0.0024067971761882858
3-CoupledPendulum,CHNN,avg_rel_err_pred,16,0.006669564063713547
3-CoupledPendulum,CHNN,avg_rel_err_pred,17,0.003947170394539155
3-CoupledPendulum,CHNN,avg_rel_err_pred,18,0.0023972011395475097
3-CoupledPendulum,CHNN,avg_rel_err_pred,19,0.0022496678419189464
3-CoupledPendulum,CHNN,avg_rel_err_pred,20,0.0053214048717375815
3-CoupledPendulum,CHNN,avg_rel_err_pred,21,0.005584993885718457
3-CoupledPendulum,CHNN,avg_rel_err_pred,22,0.01189566523267775
3-CoupledPendulum,CHNN,avg_rel_err_pred,23,0.023601405447598388
3-CoupledPendulum,CHNN,avg_rel_err_pred,24,0.004969516911678391
3-CoupledPendulum,CHNN,avg_rel_err_pred,25,0.0029079151994911598
3-CoupledPendulum,CHNN,avg_rel_err_pred,26,0.006139610683789975
3-CoupledPendulum,CHNN,avg_rel_err_pred,27,0.0030669705902416724
3-CoupledPendulum,CHNN,avg_rel_err_pred,28,0.001322300071295092
3-CoupledPendulum,CHNN,avg_rel_err_pred,29,0.07890630754791188
3-CoupledPendulum,CHNN,avg_rel_err_pred,30,0.012667780904484041
3-CoupledPendulum,CHNN,avg_rel_err_pred,31,0.003928747051984679
3-CoupledPendulum,CHNN,avg_rel_err_pred,32,0.00682944949333183
3-CoupledPendulum,CHNN,avg_rel_err_pred,33,0.006153921916170568
3-CoupledPendulum,CHNN,avg_rel_err_pred,34,0.002889881309373151
3-CoupledPendulum,CHNN,avg_rel_err_pred,35,0.06065627757449655
3-CoupledPendulum,CHNN,avg_rel_err_pred,36,0.009085048735718576
3-CoupledPendulum,CHNN,avg_rel_err_pred,37,0.009742374662962695
3-CoupledPendulum,CHNN,avg_rel_err_pred,38,0.08374688104617097
3-CoupledPendulum,CHNN,avg_rel_err_pred,39,0.0034992821491778865
3-CoupledPendulum,CHNN,avg_rel_err_pred,40,0.0023587059907037326
3-CoupledPendulum,CHNN,avg_rel_err_pred,41,0.11431434067803495
3-CoupledPendulum,CHNN,avg_rel_err_pred,42,0.0012960389679352502
3-CoupledPendulum,CHNN,avg_rel_err_pred,43,0.017463393602859895
3-CoupledPendulum,CHNN,avg_rel_err_pred,44,0.011382797361018136
3-CoupledPendulum,CHNN,avg_rel_err_pred,45,0.0027174010864218358
3-CoupledPendulum,CHNN,avg_rel_err_pred,46,0.01608794947690497
3-CoupledPendulum,CHNN,avg_rel_err_pred,47,0.0015513636887434165
3-CoupledPendulum,CHNN,avg_rel_err_pred,48,0.0021683954593239283
3-CoupledPendulum,CHNN,avg_rel_err_pred,49,0.01162100933155526
3-CoupledPendulum,CHNN,avg_rel_err_pred,50,0.06862083719053856
3-CoupledPendulum,CHNN,avg_rel_err_pred,51,0.004706146076872691
3-CoupledPendulum,CHNN,avg_rel_err_pred,52,0.009930896843798236
3-CoupledPendulum,CHNN,avg_rel_err_pred,53,0.005648688381600357
3-CoupledPendulum,CHNN,avg_rel_err_pred,54,0.1256980995319748
3-CoupledPendulum,CHNN,avg_rel_err_pred,55,0.03848165977462228
3-CoupledPendulum,CHNN,avg_rel_err_pred,56,0.0019025695434506762
3-CoupledPendulum,CHNN,avg_rel_err_pred,57,0.002498153196608822
3-CoupledPendulum,CHNN,avg_rel_err_pred,58,0.004133648609084479
3-CoupledPendulum,CHNN,avg_rel_err_pred,59,0.0024179567271790936
3-CoupledPendulum,CHNN,avg_rel_err_pred,60,0.04672483775991194
3-CoupledPendulum,CHNN,avg_rel_err_pred,61,0.01181614105647806
3-CoupledPendulum,CHNN,avg_rel_err_pred,62,0.004074184607469896
3-CoupledPendulum,CHNN,avg_rel_err_pred,63,0.012672536649685965
3-CoupledPendulum,CHNN,avg_rel_err_pred,64,0.002846762306269988
3-CoupledPendulum,CHNN,avg_rel_err_pred,65,0.0032223223468753194
3-CoupledPendulum,CHNN,avg_rel_err_pred,66,0.00885894635703573
3-CoupledPendulum,CHNN,avg_rel_err_pred,67,0.05111788111903693
3-CoupledPendulum,CHNN,avg_rel_err_pred,68,0.0066272179142859875
3-CoupledPendulum,CHNN,avg_rel_err_pred,69,0.008018555039686908
3-CoupledPendulum,CHNN,avg_rel_err_pred,70,0.005712105132422679
3-CoupledPendulum,CHNN,avg_rel_err_pred,71,0.002861519589463627
3-CoupledPendulum,CHNN,avg_rel_err_pred,72,0.003852659624578107
3-CoupledPendulum,CHNN,avg_rel_err_pred,73,0.0030172248804968284
3-CoupledPendulum,CHNN,avg_rel_err_pred,74,0.012022256252490574
3-CoupledPendulum,CHNN,avg_rel_err_pred,75,0.0015786223472736883
